city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Montgomery,Montgomery,AL,Alabama,1101,Montgomery,32.3473,-86.2666,254634,479,polygon,False,True,America/Chicago,2,36064 36112 36113 36110 36111 36117 36115 36116 36108 36105 36104 36106 36109 36107 36101 36114 36118 36120 36121 36123 36124 36125 36130 36131 36132 36135 36140 36141 36142 36177 36191,1840008353
Juneau,Juneau,AK,Alaska,2110,Juneau,58.4546,-134.1739,31974,4,polygon,False,True,America/Juneau,2,99824 99801 99802 99803 99811 99812 99821 99850,1840023306
Phoenix,Phoenix,AZ,Arizona,4013,Maricopa,33.5722,-112.0891,4219697,1253,polygon,False,True,America/Phoenix,1,85008 85009 85006 85007 85004 85083 85086 85087 85085 85383 85033 85304 85306 85308 85020 85021 85022 85023 85024 85027 85028 85029 85353 85019 85018 85013 85012 85015 85014 85017 85016 85254 85003 85044 85045 85042 85043 85040 85041 85048 85054 85037 85035 85034 85032 85031 85307 85310 85051 85050 85053 85001 85002 85005 85010 85011 85026 85030 85036 85038 85046 85060 85061 85062 85063 85064 85065 85066 85067 85068 85069 85070 85071 85072 85073 85074 85075 85076 85078 85079 85080 85082,1840020568
Little Rock,Little Rock,AR,Arkansas,5119,Pulaski,34.7256,-92.3576,439815,634,polygon,False,True,America/Chicago,2,72211 72210 72212 72223 72209 72202 72201 72206 72207 72204 72205 72103 72227 72215 72217 72219 72222 72225 72231 72255 72260 72295,1840015509
Sacramento,Sacramento,CA,California,6067,Sacramento,38.5667,-121.4683,1898019,2029,polygon,False,True,America/Los_Angeles,1,95820 95838 95832 95833 95831 95834 95835 95811 95814 95815 95816 95818 95819 95828 95821 95823 95822 95825 95824 95826 95817 94203 94204 94205 94207 94208 94209 94211 94229 94230 94232 94234 94235 94236 94237 94239 94240 94244 94245 94247 94248 94249 94250 94252 94254 94256 94257 94258 94259 94261 94262 94263 94267 94268 94269 94271 94273 94274 94277 94278 94279 94280 94282 94283 94284 94285 94287 94288 94289 94290 94291 94293 94294 94295 94296 94297 94298 94299 95812 95813 95840 95851 95852 95853 95867 95894,1840021491
Denver,Denver,CO,Colorado,8031,Denver,39.7621,-104.8759,2876625,1831,polygon,False,True,America/Denver,1,80264 80230 80231 80236 80237 80235 80238 80239 80123 80249 80247 80246 80290 80293 80294 80218 80219 80210 80211 80212 80216 80221 80220 80223 80222 80224 80227 80209 80207 80206 80205 80204 80202 80014 80203 80208 80217 80243 80244 80248 80250 80256 80257 80259 80261 80262 80265 80266 80271 80273 80274 80281 80291 80299,1840018789
Hartford,Hartford,CT,Connecticut,9003,Hartford,41.7661,-72.6834,905152,2712,polygon,False,True,America/New_York,2,06106 06105 06103 06120 06112 06160 06114 06101 06102 06104 06115 06123 06126 06127 06132 06133 06134 06140 06141 06142 06143 06144 06145 06146 06147 06150 06151 06152 06154 06167 06176 06183,1840004773
Dover,Dover,DE,Delaware,10001,Kent,39.161,-75.5203,117282,622,polygon,False,True,America/New_York,2,19902 19901 19904 19905 19906,1840005810
Washington,Washington,DC,District of Columbia,11001,District of Columbia,38.9047,-77.0163,5379184,4457,polygon,False,True,America/New_York,1,20010 20011 20012 20015 20228 20520 20307 20418 20319 20024 20510 20593 20020 20427 20540 20240 20245 20204 20202 20390 20006 20005 20004 20003 20002 20009 20008 20535 20317 20405 20057 20052 20053 20017 20018 20565 20566 20560 20260 20064 20551 20553 20019 20230 20373 20007 20032 20036 20037 20506 20001 20045 20016 20013 20022 20026 20027 20029 20030 20033 20035 20038 20039 20040 20042 20043 20044 20047 20049 20050 20055 20056 20058 20059 20060 20061 20062 20063 20065 20066 20067 20068 20069 20070 20071 20073 20074 20075 20076 20077 20078 20080 20081 20082 20090 20091 20201 20203 20206 20207 20208 20210 20211 20212 20213 20214 20215 20216 20217 20218 20219 20220 20221 20222 20223 20224 20226 20227 20229 20232 20233 20235 20237 20238 20239 20241 20242 20244 20250 20251 20252 20254 20261 20262 20265 20266 20268 20270 20277 20289 20299 20301 20303 20306 20310 20314 20318 20330 20340 20350 20355 20370 20372 20374 20375 20376 20380 20388 20389 20391 20392 20393 20394 20395 20398 20401 20402 20403 20404 20406 20407 20408 20410 20411 20412 20413 20414 20415 20416 20417 20419 20420 20421 20422 20423 20424 20425 20426 20428 20429 20431 20433 20434 20435 20436 20437 20439 20440 20441 20442 20444 20447 20451 20453 20456 20460 20463 20468 20469 20470 20472 20500 20501 20502 20503 20504 20505 20507 20508 20509 20511 20515 20521 20522 20523 20524 20525 20526 20527 20528 20529 20530 20531 20533 20534 20536 20537 20538 20539 20541 20542 20543 20544 20546 20547 20548 20549 20552 20554 20555 20557 20559 20570 20571 20572 20573 20575 20576 20577 20578 20579 20580 20581 20585 20586 20590 20591 20594 20597 20599 56901 56902 56904 56908 56915 56920 56933 56935 56944 56945 56950 56965 56967 56972 56998 56999,1840006060
Tallahassee,Tallahassee,FL,Florida,12073,Leon,30.4551,-84.2526,257601,747,polygon,False,True,America/New_York,2,32311 32312 32399 32304 32303 32301 32309 32308 32302 32306 32307 32313 32314 32315 32316,1840015913
Atlanta,Atlanta,GA,Georgia,13121,Fulton,33.7627,-84.4224,5449398,1441,polygon,False,True,America/New_York,1,30334 30331 30332 30309 30308 30305 30307 30303 30354 30327 30322 30326 30324 30319 30342 30306 30318 30316 30317 30314 30315 30312 30313 30310 30311 30363 30301 30302 30304 30321 30325 30333 30343 30348 30353 30355 30357 30361 30368 30369 30370 30371 30375 30377 30392 30394 30398 31106 31107 31126 31139 31141 31193 31195 31196,1840013660
Honolulu,Honolulu,HI,Hawaii,15003,Honolulu,21.3294,-157.846,820987,2200,polygon,False,True,Pacific/Honolulu,2,96859 96850 96822 96826 96813 96815 96814 96817 96816 96819 96818 96801 96802 96803 96804 96805 96806 96807 96808 96809 96810 96811 96812 96820 96823 96828 96830 96836 96837 96838 96839 96840 96841 96843 96844 96846 96847 96848 96849 96858 96898,1840013305
Boise,Boise,ID,Idaho,16001,Ada,43.6007,-116.2312,389280,1056,polygon,False,True,America/Boise,2,83703 83702 83705 83704 83709 83716 83706 83712 83713 83701 83708 83715 83717 83720 83722 83724 83725 83728 83729 83735 83756 83799,1840027142
Springfield,Springfield,IL,Illinois,17167,Sangamon,39.771,-89.6538,158509,723,polygon,False,True,America/Chicago,2,62711 62712 62702 62703 62701 62707 62704 62705 62706 62715 62716 62719 62722 62726 62736 62739 62756 62757 62761 62762 62763 62764 62765 62766 62767 62769 62776 62777 62781 62786 62796,1840009517
Indianapolis,Indianapolis,IN,Indiana,18097,Marion,39.7771,-86.1458,1588961,935,polygon,False,True,America/Indiana/Indianapolis,1,46218 46219 46217 46214 46260 46268 46224 46228 46183 46231 46234 46235 46236 46237 46239 46250 46208 46201 46203 46202 46205 46204 46256 46254 46259 46227 46226 46225 46222 46221 46220 46229 46113 46278 46241 46240 46206 46207 46209 46230 46242 46244 46247 46251 46253 46255 46262 46277 46282 46283 46285 46288 46298,1840030084
Des Moines,Des Moines,IA,Iowa,19153,Polk,41.5725,-93.6105,473957,938,polygon,False,True,America/Chicago,2,50309 50312 50314 50316 50317 50310 50311 50313 50319 50321 50320 50315 50301 50302 50303 50304 50305 50306 50307 50308 50318 50328 50329 50330 50331 50332 50335 50340 50380 50381 50391 50392 50393 50394 50395 50396 50936 50940 50947 50950 50980 50981 50982 50983,1840007069
Topeka,Topeka,KS,Kansas,20177,Shawnee,39.0346,-95.6955,147458,787,polygon,False,True,America/Chicago,2,66621 66622 66609 66608 66607 66606 66605 66604 66603 66611 66612 66614 66616 66601 66624 66625 66626 66629 66636 66647 66667 66675 66683 66699,1840001621
Frankfort,Frankfort,KY,Kentucky,21073,Franklin,38.1924,-84.8643,38852,725,polygon,False,True,America/New_York,2,40604 40601 40603 40618 40619 40620 40621 40622,1840013210
Baton Rouge,Baton Rouge,LA,Louisiana,22033,East Baton Rouge,30.4418,-91.131,570308,983,polygon,False,True,America/Chicago,2,70836 70808 70809 70802 70803 70801 70806 70807 70805 70820 70819 70811 70815 70814 70816 70804 70813 70821 70822 70823 70825 70827 70831 70833 70835 70873 70874 70891 70892 70893 70894 70895 70898,1840013941
Augusta,Augusta,ME,Maine,23011,Kennebec,44.3341,-69.7319,22116,130,polygon,False,True,America/New_York,3,04330 04332 04333 04336 04338,1840000302
Annapolis,Annapolis,MD,Maryland,24003,Anne Arundel,38.9706,-76.5047,39223,2100,polygon,False,True,America/New_York,2,21401 21403 21404 21411,1840005928
Boston,Boston,MA,Massachusetts,25025,Suffolk,42.3188,-71.0846,4688346,5532,polygon,False,True,America/New_York,1,02120 02121 02122 02124 02125 02126 02127 02128 02129 02467 02210 02215 02119 02118 02111 02110 02113 02115 02114 02116 02199 02134 02136 02135 02132 02131 02130 02203 02163 02152 02108 02109 02112 02117 02123 02133 02137 02196 02201 02205 02206 02211 02212 02217 02222 02241 02283 02284 02293 02297 02298,1840000455
Lansing,Lansing,MI,Michigan,26065,Ingham,42.7142,-84.5601,324286,1164,polygon,False,True,America/Detroit,2,48933 48915 48912 48911 48910 48921 48906 48901 48909 48916 48919 48922 48924 48929 48930 48937 48951 48956,1840003102
St. Paul,St. Paul,MN,Minnesota,27123,Ramsey,44.9477,-93.104,308096,2288,polygon,False,True,America/Chicago,2,55114 55117 55116 55119 55130 55101 55155 55102 55103 55106 55107 55104 55105 55108 55131 55133 55144 55145 55146 55164 55170,1840008940
Jackson,Jackson,MS,Mississippi,28049,Hinds,32.3163,-90.2124,325350,558,polygon,False,True,America/Chicago,2,39272 39206 39204 39203 39202 39201 39209 39269 39174 39211 39212 39213 39216 39217 39060 39205 39207 39210 39215 39225 39236 39250 39271 39282 39283 39284 39286 39289 39296 39298,1840014895
Jefferson City,Jefferson City,MO,Missouri,29051,Cole,38.5676,-92.1759,58025,457,polygon,False,True,America/Chicago,2,65101 65109 65102 65103 65104 65105 65106 65107 65108 65110 65111,1840008615
Helena,Helena,MT,Montana,30049,Lewis and Clark,46.5965,-112.0202,52936,760,polygon,False,True,America/Denver,2,59601 59602 59623 59624 59625 59626,1840019820
Lincoln,Lincoln,NE,Nebraska,31109,Lancaster,40.809,-96.6788,289490,1160,polygon,False,True,America/Chicago,2,68528 68524 68526 68520 68521 68522 68516 68510 68512 68506 68507 68504 68505 68502 68503 68508 68509 68529 68542 68544 68583 68588,1840009357
Carson City,Carson City,NV,Nevada,32510,Carson City,39.1512,-119.7474,58756,149,polygon,False,True,America/Los_Angeles,2,89701 89703 89702 89705 89706 89711 89712 89713 89714,1840003826
Concord,Concord,NH,New Hampshire,33013,Merrimack,43.2305,-71.5595,43627,263,polygon,False,True,America/New_York,2,03303 03301 03302 03305,1840002747
Trenton,Trenton,NJ,New Jersey,34021,Mercer,40.2236,-74.7641,290716,4238,polygon,False,True,America/New_York,2,08638 08611 08618 08629 08609 08608 08601 08603 08604 08605 08607 08625 08645 08646 08647 08666 08695,1840001383
Santa Fe,Santa Fe,NM,New Mexico,35049,Santa Fe,35.6619,-105.9819,111269,625,polygon,False,True,America/Denver,2,87505 87507 87501 87502 87503 87509,1840021707
Albany,Albany,NY,New York,36001,Albany,42.6664,-73.7987,586383,1740,polygon,False,True,America/New_York,2,12208 12209 12204 12206 12207 12202 12203 12205 12210 12222 12201 12223 12226 12228 12229 12230 12231 12232 12233 12234 12235 12236 12237 12238 12239 12240 12241 12242 12243 12244 12245 12246 12248 12250 12255 12257 12260 12261,1840000417
Raleigh,Raleigh,NC,North Carolina,37183,Wake,35.8325,-78.6435,1038738,1254,polygon,False,True,America/New_York,1,27617 27616 27615 27614 27613 27612 27610 27608 27609 27601 27603 27604 27605 27606 27607 27602 27619 27620 27622 27624 27626 27627 27628 27634 27636 27640 27650 27656 27658 27661 27668 27675 27676 27690 27697 27698,1840014497
Bismarck,Bismarck,ND,North Dakota,38015,Burleigh,46.8144,-100.7694,98345,827,polygon,False,True,America/Chicago,2,58505 58504 58501 58503 58507,1840001926
Columbus,Columbus,OH,Ohio,39049,Franklin,39.9862,-82.985,1562009,1582,polygon,False,True,America/New_York,1,43026 43109 43054 43220 43221 43222 43223 43224 43081 43228 43227 43211 43213 43212 43215 43214 43217 43219 43002 43004 43068 43085 43240 43229 43235 43232 43231 43230 43119 43110 43017 43016 43137 43210 43202 43203 43201 43206 43207 43204 43205 43209 43218 43236 43251 43260 43266 43268 43270 43271 43272 43279 43287 43291,1840003760
Oklahoma City,Oklahoma City,OK,Oklahoma,40109,Oklahoma,35.4676,-97.5136,972943,417,polygon,False,True,America/Chicago,2,73012 73013 73099 73097 73119 73118 73114 73117 73116 73111 73112 73020 73173 74857 73142 73141 73145 73149 73078 73109 73106 73107 73139 73132 73131 73135 73134 73008 73084 73105 73169 73162 73165 73102 73103 73054 73151 73150 73159 73064 73108 73104 73129 73179 73170 73049 73127 73120 73121 73122 73128 73101 73113 73124 73125 73126 73136 73137 73143 73144 73146 73147 73148 73152 73154 73155 73157 73163 73164 73167 73172 73178 73184 73189 73190 73194 73195,1840020428
Salem,Salem,OR,Oregon,41047,Marion,44.9231,-123.0246,266804,1382,polygon,False,True,America/Los_Angeles,2,97302 97301 97306 97304 97317 97309 97310 97311 97312 97314,1840021224
Harrisburg,Harrisburg,PA,Pennsylvania,42043,Dauphin,40.2752,-76.8843,442289,2343,polygon,False,True,America/New_York,2,17101 17102 17103 17104 17120 17110 17105 17108 17121 17122 17123 17124 17125 17126 17127 17128 17129 17130,1840001288
San Juan,San Juan,PR,Puerto Rico,72127,San Juan,18.4037,-66.0636,323279,3157,polygon,False,False,America/Puerto_Rico,2,00918 00913 00911 00917 00915 00912 00926 00927 00924 00925 00923 00920 00921 00906 00907 00901 00909 00936 00969 00902 00908 00910 00919 00922 00928 00929 00930 00931 00935 00937 00939 00940 00955 00975,1630035577
Providence,Providence,RI,Rhode Island,44007,Providence,41.823,-71.4187,1203230,3773,polygon,False,True,America/New_York,1,02903 02906 02907 02905 02908 02909 02904 02912 02901 02902 02918 02940,1840003289
Columbia,Columbia,SC,South Carolina,45079,Richland,34.0376,-80.9037,560041,373,polygon,False,True,America/New_York,2,29202 29203 29205 29201 29207 29204 29208 29209 29212 29225 29229 29147 29210 29206 29214 29215 29216 29217 29218 29220 29224 29226 29240 29250,1840014730
Pierre,Pierre,SD,South Dakota,46065,Hughes,44.3748,-100.3205,14659,410,polygon,False,True,America/Chicago,2,57501,1840000313
Nashville,Nashville,TN,Tennessee,47037,Davidson,36.1715,-86.7843,1081903,544,polygon,False,True,America/Chicago,1,37027 37138 37076 37072 37205 37201 37206 37240 37243 37246 37080 37218 37219 37216 37217 37214 37215 37212 37213 37210 37211 37189 37209 37208 37204 37207 37203 37115 37013 37228 37221 37220 37143 37011 37116 37202 37222 37224 37227 37229 37230 37232 37234 37235 37236 37238 37241 37242 37244 37250,1840036155
Austin,Austin,TX,Texas,48453,Travis,30.3004,-97.7522,1687311,1181,polygon,False,True,America/Chicago,1,78749 78748 78741 78742 78745 78744 78747 78746 78717 78712 78719 78617 78739 78735 78730 78731 78732 78733 78705 78704 78701 78703 78702 78758 78759 78752 78753 78750 78751 78756 78757 78754 78652 78723 78722 78721 78727 78726 78725 78724 78729 78728 73301 73344 78651 78680 78708 78709 78710 78711 78713 78714 78715 78718 78720 78755 78760 78761 78762 78763 78765 78766 78767 78768 78772 78773 78774 78778 78779 78783 78799,1840019590
Salt Lake City,Salt Lake City,UT,Utah,49035,Salt Lake,40.7777,-111.9306,1098526,699,polygon,False,True,America/Denver,1,84116 84115 84113 84112 84111 84144 84128 84180 84108 84101 84102 84103 84104 84105 84106 84110 84114 84122 84132 84133 84134 84138 84139 84143 84145 84147 84148 84150 84151 84152 84158 84199,1840021383
Montpelier,Montpelier,VT,Vermont,50023,Washington,44.2658,-72.5717,7372,283,polygon,False,True,America/New_York,2,05602 05603 05604 05620 05633,1840002187
Richmond,Richmond,VA,Virginia,51760,Richmond,37.5295,-77.4756,1075798,1484,polygon,False,True,America/New_York,1,23222 23223 23220 23221 23226 23227 23224 23225 23230 23235 23234 23219 23173 23218 23232 23249 23260 23261 23269 23274 23276 23278 23282 23284 23285 23286 23289 23290 23291 23292 23295 23298,1840001698
Olympia,Olympia,WA,Washington,53067,Thurston,47.0417,-122.8959,200915,1119,polygon,False,True,America/Los_Angeles,2,98501 98502 98506 98504 98507 98508,1840019865
Charleston,Charleston,WV,West Virginia,54039,Kanawha,38.3484,-81.6323,138706,570,polygon,False,True,America/New_York,2,25305 25304 25303 25302 25301 25311 25312 25314 25317 25321 25322 25323 25324 25325 25326 25327 25328 25329 25330 25331 25332 25333 25334 25335 25336 25337 25338 25339 25350 25364 25375 25387 25392 25396,1840006196
Madison,Madison,WI,Wisconsin,55025,Dane,43.0826,-89.3931,447245,1263,polygon,False,True,America/Chicago,2,53706 53704 53705 53703 53726 53792 53719 53718 53715 53714 53717 53716 53711 53713 53701 53707 53708 53725 53774 53777 53782 53783 53784 53785 53786 53788 53790 53793 53794,1840002915
Cheyenne,Cheyenne,WY,Wyoming,56021,Laramie,41.1351,-104.79,79484,771,polygon,False,True,America/Denver,2,82009 82007 82001 82002 82003,1840018713
